path,TP,FP,FN,TN,total_rows
handcrafted_tests\src\0_4\cross-contract\access-control\human,6,0,5,0,11
handcrafted_tests\src\0_4\cross-contract\access-control\temporal,10,0,23,0,33
handcrafted_tests\src\0_4\cross-contract\create,2,0,20,0,22
handcrafted_tests\src\0_4\cross-contract\read-only,14,0,19,0,33
handcrafted_tests\src\0_4\cross-contract\to-target,7,0,4,0,11
handcrafted_tests\src\0_4\cross-function\baseline,6,0,5,0,11
handcrafted_tests\src\0_4\cross-function\guard\access-control,5,0,6,0,11
handcrafted_tests\src\0_4\cross-function\guard\mutex\mod,33,0,33,0,66
handcrafted_tests\src\0_4\cross-function\guard\mutex\no-mod,15,0,18,0,33
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\baseline,7,0,4,0,11
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\folded,19,0,14,0,33
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\gas,7,0,4,0,11
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\guard\block-number,5,0,6,0,11
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod,28,0,27,0,55
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\guard\mutex\multi-flag\no-mod,33,0,22,0,55
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod,29,0,26,0,55
handcrafted_tests\src\0_4\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod,33,0,22,0,55
handcrafted_tests\src\0_4\single-function\low-level-call\to-target\constant,6,0,5,0,11
handcrafted_tests\src\0_4\single-function\low-level-call\to-target\constructor,5,0,6,0,11
handcrafted_tests\src\0_4\single-function\low-level-call\to-target\parameter,7,0,4,0,11
handcrafted_tests\src\0_4\single-function\method-invocation\baseline,6,0,5,0,11
handcrafted_tests\src\0_4\single-function\method-invocation\folded,18,0,15,0,33
handcrafted_tests\src\0_5\cross-contract\access-control\human,5,0,6,0,11
handcrafted_tests\src\0_5\cross-contract\access-control\temporal,5,0,28,0,33
handcrafted_tests\src\0_5\cross-contract\create,1,0,21,0,22
handcrafted_tests\src\0_5\cross-contract\read-only,12,0,32,0,44
handcrafted_tests\src\0_5\cross-contract\to-target,6,0,5,0,11
handcrafted_tests\src\0_5\cross-function\baseline,5,0,6,0,11
handcrafted_tests\src\0_5\cross-function\guard\access-control,4,0,7,0,11
handcrafted_tests\src\0_5\cross-function\guard\mutex\mod,26,0,40,0,66
handcrafted_tests\src\0_5\cross-function\guard\mutex\no-mod,12,0,21,0,33
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\baseline,5,0,6,0,11
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\folded,17,0,16,0,33
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\gas,6,0,5,0,11
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\guard\block-number,4,0,7,0,11
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod,24,0,31,0,55
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\guard\mutex\multi-flag\no-mod,29,0,26,0,55
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod,25,0,30,0,55
handcrafted_tests\src\0_5\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod,29,0,26,0,55
handcrafted_tests\src\0_5\single-function\low-level-call\to-target\constant,4,0,7,0,11
handcrafted_tests\src\0_5\single-function\low-level-call\to-target\constructor,4,0,7,0,11
handcrafted_tests\src\0_5\single-function\low-level-call\to-target\parameter,6,0,5,0,11
handcrafted_tests\src\0_5\single-function\method-invocation\baseline,6,0,5,0,11
handcrafted_tests\src\0_5\single-function\method-invocation\folded,15,0,18,0,33
handcrafted_tests\src\0_8\always-safe\underflow,8,0,14,0,22
handcrafted_tests\src\0_8\cross-contract\access-control\human,3,0,8,0,11
handcrafted_tests\src\0_8\cross-contract\access-control\temporal,2,0,31,0,33
handcrafted_tests\src\0_8\cross-contract\create,2,0,31,0,33
handcrafted_tests\src\0_8\cross-contract\read-only,7,0,37,0,44
handcrafted_tests\src\0_8\cross-contract\to-target,4,0,7,0,11
handcrafted_tests\src\0_8\cross-function\baseline,4,0,7,0,11
handcrafted_tests\src\0_8\cross-function\guard\access-control,2,0,9,0,11
handcrafted_tests\src\0_8\cross-function\guard\mutex\mod,22,0,44,0,66
handcrafted_tests\src\0_8\cross-function\guard\mutex\no-mod,12,0,21,0,33
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\baseline,4,0,7,0,11
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\folded,11,0,22,0,33
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\gas,4,0,7,0,11
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\guard\block-number,2,0,9,0,11
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\guard\mutex\multi-flag\mod,13,0,42,0,55
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\guard\mutex\multi-flag\no-mod,20,0,35,0,55
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\mod,14,0,41,0,55
handcrafted_tests\src\0_8\single-function\low-level-call\to-sender\guard\mutex\single-flag\no-mod,17,0,38,0,55
handcrafted_tests\src\0_8\single-function\low-level-call\to-target\constant,4,0,7,0,11
handcrafted_tests\src\0_8\single-function\low-level-call\to-target\constructor,3,0,8,0,11
handcrafted_tests\src\0_8\single-function\low-level-call\to-target\parameter,4,0,7,0,11
handcrafted_tests\src\0_8\single-function\method-invocation\baseline,4,0,7,0,11
handcrafted_tests\src\0_8\single-function\method-invocation\folded,10,0,23,0,33
